Geneid	A8_sensitive_sorted.bam	A9_sensitive_sorted.bam	A10_sensitive_sorted.bam	A11_sensitive_sorted.bam	A12_resistant_sorted.bam	A13_resistant_sorted.bam	A14_resistant_sorted.bam	A15_resistant_sorted.bam
transcript:EMLSAT00000000140	195	164	177	173	202	215	172	258
transcript:EMLSAT00000000141	2478	1648	2939	2502	3092	3335	2302	2661
transcript:EMLSAT00000000132	275	398	390	679	241	604	376	289
transcript:EMLSAT00000000133	5067	4034	5180	3974	5382	4435	3527	3624
transcript:EMLSAT00000000142	904	664	905	1064	1000	930	728	971
transcript:EMLSAT00000000134	960	536	843	1062	820	1020	858	879
transcript:EMLSAT00000000145	738	821	753	1051	566	659	730	573
transcript:EMLSAT00000000146	2368	2122	2945	2816	2625	2869	2559	2503
transcript:EMLSAT00000000147	372	660	1112	1885	395	1476	1241	950
transcript:EMLSAT00000000148	2784	2573	2964	2882	2711	2786	2584	2586
transcript:EMLSAT00000000149	4707	4175	6109	3338	6980	4082	4001	4130
transcript:EMLSAT00000000150	3998	6688	7336	6009	3173	5753	4429	5170
transcript:EMLSAT00000000143	3499	3229	3652	2483	3714	2837	2568	2877
transcript:EMLSAT00000000144	10	4	64	36	67	29	22	43
transcript:EMLSAT00000000153	612	404	970	780	884	888	777	817
transcript:EMLSAT00000000151	5718	5120	5782	6669	7381	6144	6717	6720
transcript:EMLSAT00000000152	626354	506109	565141	578764	841620	634470	648983	601455
transcript:EMLSAT00000000158	2684	2195	3423	2879	3059	2964	2552	2711
transcript:EMLSAT00000000159	2864	2068	3735	4031	3625	4191	3560	3305
transcript:EMLSAT00000000155	29367	27056	35797	35228	41696	59428	30298	47741
transcript:EMLSAT00000000156	3542	6512	2354	3037	3113	5472	2266	4849
transcript:EMLSAT00000000157	53	182	54	51	22	106	28	29
transcript:EMLSAT00000000154	0	0	0	3	3	0	0	0
transcript:EMLSAT00000000170	73	95	61	41	53	63	92	40
transcript:EMLSAT00000000171	15	20	33	10	3	22	19	16
transcript:EMLSAT00000000172	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000173	795	646	860	760	859	884	810	713
transcript:EMLSAT00000000174	210	246	183	154	152	190	134	153
transcript:EMLSAT00000000175	1546	1487	1486	1465	1601	1327	1239	1448
transcript:EMLSAT00000000176	1743	1480	1890	1797	2384	1982	1658	1905
transcript:EMLSAT00000000177	842	782	1214	1367	941	1053	1074	983
